크기,무게(ton),속도(km_h),색상,제로백(sec),차량발매연도,정지거리(m)
중형,1.22,90.9,붉은색,18.4,2015,55.449
중형,1.14,110.7,푸른색,22.2,2019,63.099
대형,1.28,84.4,회색,18.5,2016,54.016
소형,1.07,85.4,흰색,22.4,2016,45.689
중형,1.26,107.8,회색,28.1,2006,67.914
중형,1.16,105.2,회색,12.6,2011,61.016
대형,1.4,83.3,붉은색,16.6,2012,58.31
대형,1.46,80.4,분홍색,8.8,2015,58.692
중형,1.09,112.6,회색,13.1,2012,61.367
중형,1.24,88.9,흰색,13.1,2018,55.118
소형,1.07,107.6,푸른색,25.8,2020,57.566
중형,1.17,94.9,검은색,20.2,2014,55.517
중형,1.14,96.4,붉은색,24.8,2005,54.948
대형,1.41,77.1,분홍색,17.7,2016,54.356
대형,1.5,87.5,초록색,21.7,2008,65.625
중형,1.16,119.8,초록색,17.4,2008,69.484
중형,1.18,89.0,붉은색,10.4,2008,52.51
중형,1.17,82.4,푸른색,7.5,2009,48.204
소형,1.09,98.0,붉은색,22.0,2015,53.41
중형,1.26,81.7,붉은색,7.3,2008,51.471
중형,1.11,92.3,회색,23.4,2018,51.227
대형,1.29,79.8,회색,7.3,2014,51.471
소형,0.9,97.7,검은색,18.6,2017,43.965
소형,0.97,106.1,흰색,16.0,2007,51.459
대형,1.44,78.9,초록색,19.2,2008,56.808
대형,1.38,79.4,붉은색,9.6,2016,54.786
중형,1.05,86.1,회색,29.0,2015,45.203
대형,1.26,75.8,분홍색,15.9,2017,47.754
소형,0.95,80.1,초록색,17.8,2013,38.048
소형,0.9,97.1,검은색,22.8,2017,43.695
대형,1.4,78.2,초록색,9.6,2006,54.74
대형,1.44,73.7,회색,11.2,2009,53.064
중형,1.08,112.7,푸른색,7.8,2007,60.858
소형,0.99,103.3,검은색,10.0,2021,51.134
소형,0.9,94.4,분홍색,20.6,2010,42.48
대형,1.49,74.3,푸른색,14.8,2008,55.353
소형,0.93,81.9,초록색,10.4,2006,38.084
중형,1.25,116.4,분홍색,29.1,2008,72.75
대형,1.38,84.9,푸른색,15.7,2014,58.581
소형,0.94,100.7,붉은색,28.0,2016,47.329
대형,1.43,89.9,초록색,25.5,2005,64.279
소형,1.05,95.6,회색,18.8,2021,50.19
소형,1.02,110.0,검은색,25.4,2018,56.1
소형,1.08,103.9,검은색,16.3,2013,56.106
대형,1.27,70.8,푸른색,21.9,2005,44.958
대형,1.25,74.2,흰색,10.2,2015,46.375
중형,1.3,115.7,흰색,25.2,2016,75.205
대형,1.44,86.9,푸른색,26.5,2014,62.568
중형,1.24,106.5,붉은색,29.4,2014,66.03
중형,1.14,99.3,분홍색,10.3,2007,56.601
중형,1.22,106.6,초록색,14.9,2009,65.026
대형,1.48,75.4,초록색,27.0,2021,55.796
중형,1.19,81.7,흰색,9.3,2014,48.611
소형,1.09,81.4,초록색,24.9,2007,44.363
소형,1.09,86.0,푸른색,12.2,2019,46.87
대형,1.25,74.5,푸른색,14.5,2011,46.562
대형,1.48,70.3,푸른색,8.2,2020,52.022
소형,1.1,98.4,분홍색,29.2,2011,54.12
대형,1.33,76.9,회색,7.8,2014,51.139
중형,1.26,122.1,푸른색,7.0,2017,76.923
소형,0.92,91.9,분홍색,19.7,2012,42.274
중형,1.24,91.5,분홍색,22.5,2005,56.73
소형,1.1,101.0,회색,26.0,2009,55.55
중형,1.26,92.7,초록색,11.4,2009,58.401
중형,1.18,84.0,초록색,7.4,2011,49.56
대형,1.49,89.3,검은색,11.6,2015,66.529
대형,1.5,79.4,푸른색,25.8,2019,59.55
소형,1.02,90.9,검은색,19.5,2006,46.359
중형,1.25,91.6,흰색,17.7,2012,57.25
소형,0.9,92.7,회색,18.5,2013,41.715
소형,1.03,97.6,초록색,12.8,2008,50.264
